name,id,lat,lon,capacity,number,geometry,index_right,FID,lsoa11cd,lsoa11nm,IMDRank,IMDDecil,Shape__Are,Shape__Len,LSOA Code,LSOA Name,Mid-2020 population,Area Sq Km,People per Sq Km
"East Road, Hoxton",50,51.52867339,-0.087459376,27,29.0,POINT (-0.08745937600000001 51.52867339),31787,31788,E01033711,Hackney 027I,12611,4,201032.139087677,3161.78221168876,E01033711,Hackney 027I,4067,0.08,52750
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,29,27.0,POINT (-0.104298194 51.52671796),1668,1669,E01002725,Islington 022E,8458,3,163206.59046936,1957.20963942729,E01002725,Islington 022E,1840,0.06,30164
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,18,64.0,POINT (-0.094934859 51.52295439),1649,1650,E01002706,Islington 023E,10815,4,354844.96812439,3255.52986800605,E01002706,Islington 023E,2605,0.14,19126
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,18,12.0,POINT (-0.143495266 51.5099923),31671,31672,E01033595,Westminster 013E,16446,6,1329157.0711441,10920.308563619,E01033595,Westminster 013E,1508,0.51,2938
"Golden Lane, Barbican",54,51.52174785,-0.094475072,27,5.0,POINT (-0.09447507199999999 51.52174785),2,3,E01000003,City of London 001C,14915,5,147833.971008301,1834.89671817273,E01000003,City of London 001C,1900,0.06,32149
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,33,28.0,POINT (-0.086685542 51.51707521),32592,32593,E01032739,City of London 001F,20391,7,4277196.94448853,11949.5288116141,E01032739,City of London 001F,1688,1.65,1021
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,16,29.0,POINT (-0.154701411 51.52058381),5375,5376,E01004712,Westminster 008C,23263,8,256587.038696289,3200.34482623284,E01004712,Westminster 008C,2377,0.1,23675
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,32,33.0,POINT (-0.120202614 51.52334672),897,898,E01000915,Camden 027A,12012,4,190930.52822113,2918.313910352,E01000915,Camden 027A,1766,0.07,23833
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,20,33.0,POINT (-0.079248081 51.52452699),31784,31785,E01033708,Hackney 027G,14243,5,917923.22769165,5911.8229212978,E01033708,Hackney 027G,2424,0.36,6784
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,18,11.0,POINT (-0.172190727 51.52644828),5391,5392,E01004728,Westminster 003D,19059,6,194301.459106445,2793.62316080404,E01004728,Westminster 003D,2025,0.07,27036
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,33,60.0,POINT (-0.089446947 51.49738251),4638,4639,E01003936,Southwark 009A,19694,6,248366.920219421,2472.5005220383,E01003936,Southwark 009A,3472,0.09,36858
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,24,33.0,POINT (-0.106323685 51.4907579),3830,3831,E01003108,Lambeth 002B,6591,3,198492.632476807,2861.08364526658,E01003108,Lambeth 002B,1582,0.08,19750
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,27,35.0,POINT (-0.089782579 51.53089041),2626,2627,E01001779,Hackney 026A,7718,3,361182.711673737,3461.1143163628,E01001779,Hackney 026A,3409,0.14,24596
"William IV Street, Strand",64,51.50946212,-0.124749274,26,51.0,POINT (-0.124749274 51.50946212),5397,5398,E01004734,Westminster 018A,7933,3,825953.980491638,7044.84635475906,E01004734,Westminster 018A,1825,0.33,5614
"Gower Place , Euston",65,51.52522753,-0.13518856,17,0.0,POINT (-0.13518856 51.52522753),836,837,E01000854,Camden 026D,18104,6,491916.878074646,5417.62765132379,E01000854,Camden 026D,2112,0.19,11192
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,40,24.0,POINT (-0.108657431 51.51795029),899,900,E01000917,Camden 027C,5902,2,192933.656898499,3591.02089897529,E01000917,Camden 027C,2388,0.08,31587
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,28,24.0,POINT (-0.108028472 51.51882555),898,899,E01000916,Camden 027B,14830,5,381003.488853455,3366.15172038822,E01000916,Camden 027B,2638,0.15,17909
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,26,20.0,POINT (-0.116688468 51.52059681),896,897,E01000914,Camden 028B,20943,7,1156360.75086212,7709.70774967855,E01000914,Camden 028B,2512,0.45,5611
"Euston Road, Euston",69,51.5262363,-0.134407652,24,25.0,POINT (-0.134407652 51.5262363),927,928,E01000945,Camden 023B,8263,3,700503.528175354,5037.21657831442,E01000945,Camden 023B,1883,0.27,6943
