name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density,intercept_95,min_rail_distance_95,min_park_distance_95,min_pier_distance_95,population_density_95,localR2
"New North Road 1, Hoxton",327,51.53095,-0.085603,3.0,Liverpool Street_diatance,1408.0,Victoria Park St Agnes Gate_diatance,2452.0,Blackfriars Pier_diatance,2497.0,20774.0,0.0,0.0,0.0,0.0,0.0,0.30697047168104635
"New North Road 2, Hoxton",328,51.53114,-0.086016,9.0,Liverpool Street_diatance,1434.0,Victoria Park St Agnes Gate_diatance,2475.0,Blackfriars Pier_diatance,2505.0,20774.0,0.0,0.0,0.0,0.0,0.0,0.3199982518232298
"Prince Albert Road, The Regent's Park",329,51.53589283,-0.160854428,25.0,Marylebone_diatance,1430.0,The Regent's Park Monkey Gate_distance,171.0,Embankment Pier_diatance,4221.0,3413.0,0.0,0.0,0.0,0.0,0.0,0.6306406984152529
"Eastbourne Mews, Paddington",330,51.51641749,-0.179135079,15.0,Paddington_diatance,172.0,Kensington Gardens Marlborough Gate_diatance,595.0,Cadogan Pier_diatance,3837.0,14124.0,0.0,2.840841244221943,-3.5860219388186763,0.0,-3.2810112372811484,0.5031241507180928
"Bunhill Row, Moorgate",331,51.52085887,-0.089887855,8.0,Liverpool Street_diatance,612.0,Lincoln's Inn Fields South_distance,1910.0,Blackfriars Pier_diatance,1372.0,7965.0,0.0,0.0,0.0,0.0,0.0,0.1646296781717632
"Nevern Place, Earl's Court",332,51.49334336,-0.194757949,13.0,Paddington_diatance,2916.0,Holland Park Ilchester Gate_diatance,998.0,Cadogan Pier_diatance,2287.0,25323.0,0.0,0.0,0.0,0.0,0.0,0.05951230139410405
"Palace Gardens Terrace, Notting Hill",333,51.50860544,-0.193764092,24.0,Paddington_diatance,1501.0,Kensington Gardens Black Lion Gate_diatance,445.0,Cadogan Pier_diatance,3436.0,7324.0,0.0,-3.6920769498790955,-2.0068134367881063,0.0,-3.8250915241073136,0.4287178747336605
"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851,23.0,Waterloo_diatance,284.0,Geraldine Mary Harmsworth Park North_diatance,1011.0,Festival Pier_diatance,256.0,17685.0,0.0,0.0,0.0,0.0,0.0,0.5645460135304662
"Tavistock Street, Covent Garden",335,51.51196803,-0.120718759,16.0,Charing Cross_diatance,523.0,Lincoln's Inn Fields West_distance,481.0,Embankment Pier_diatance,557.0,2977.0,0.0,0.0,0.0,0.0,0.0,0.7355187580309659
"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533,11.0,Waterloo_diatance,261.0,Geraldine Mary Harmsworth Park North_diatance,990.0,Festival Pier_diatance,277.0,17685.0,0.0,0.0,0.0,0.0,0.0,0.5475983565026438
"Pembridge Villas, Notting Hill",337,51.51108452,-0.197524944,14.0,Paddington_diatance,1576.0,Kensington Gardens Black Lion Gate_diatance,682.0,Cadogan Pier_diatance,3810.0,17672.0,0.0,-3.013253297668575,0.0,0.0,-3.053928041138518,0.4182479944114431
"Wellington Street , Strand",338,51.51175646,-0.119643424,14.0,Charing Cross_diatance,530.0,Lincoln's Inn Fields West_distance,479.0,Embankment Pier_diatance,544.0,2977.0,0.0,0.0,0.0,0.0,0.0,0.7098507794914429
"Risinghill Street, Angel",339,51.5333196,-0.1117812,2.0,Kings Cross_diatance,803.0,Lincoln's Inn Fields West_distance,1980.0,Blackfriars Pier_diatance,2633.0,22228.0,0.0,0.0,0.0,0.0,0.0,0.11775603341605057
"Bank of England Museum, Bank",340,51.51444134,-0.087587447,18.0,Cannon Street_diatance,544.0,Lincoln's Inn Fields South_distance,1984.0,London Bridge City Pier_diatance,860.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.24403038765232457
"Craven Street, Strand",341,51.50810309,-0.12602103,51.0,Charing Cross_diatance,213.0,St. James's Park Waterloo Place Gate_distance,455.0,Embankment Pier_diatance,348.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.7179885226127223
"London Zoo Car Park, The Regent's Park",343,51.53692216,-0.150181444,83.0,Euston_diatance,1419.0,The Regent's Park St. Mark's Gate_distance,150.0,Embankment Pier_diatance,3882.0,10443.0,0.0,0.0,0.0,0.0,0.0,0.6357607032948733
"Goswell Road (City Uni), Finsbury",344,51.528246,-0.10102611,15.0,Kings Cross_diatance,1609.0,Lincoln's Inn Fields South_distance,1750.0,Blackfriars Pier_diatance,1960.0,20244.0,0.0,0.0,0.0,0.0,0.0,0.3157332579343283
"Flood Street, Chelsea",345,51.48802358,-0.166878535,32.0,Victoria_diatance,1802.0,Battersea Park Albert Gate_diatance,947.0,Cadogan Pier_diatance,578.0,20725.0,0.0,0.0,0.0,0.0,0.0,-0.3005384945997783
"Lower Marsh, Waterloo",347,51.50013942,-0.113936001,20.0,Waterloo_diatance,333.0,Geraldine Mary Harmsworth Park North_diatance,498.0,London Eye - Waterloo Pier_diatance,582.0,6252.0,0.0,0.0,0.0,0.0,0.0,0.4124367466297385
"Grosvenor Square, Mayfair",348,51.51217033,-0.150481272,19.0,Marylebone_diatance,1492.0,Hyde Park Park Lane_diatance,539.0,Embankment Pier_diatance,2098.0,9898.0,-7.144105853460165,0.0,-5.165663528018197,3.335019075012452,-5.241750257592373,0.3823313824037895
"St. George Street, Mayfair",349,51.51196,-0.142783033,11.0,Charing Cross_diatance,1450.0,Green Park Devonshire Gates_diatance,714.0,Embankment Pier_diatance,1584.0,2938.0,0.0,0.0,0.0,0.0,0.0,0.126649940753407
"Queen's Gate, Kensington Gardens",350,51.5017154373867,-0.1798541843891,228.0,Paddington_diatance,1723.0,Kensington Gardens Queen Gate_diatance,28.0,Cadogan Pier_diatance,2298.0,4109.0,0.0,0.0,0.0,2.6560228993276596,-3.5969104286048745,0.4627057681712259
"Macclesfield Rd, St Lukes",351,51.529423,-0.097122,23.0,Liverpool Street_diatance,1608.0,Lincoln's Inn Fields South_distance,2022.0,Blackfriars Pier_diatance,2107.0,22930.0,0.0,0.0,0.0,0.0,0.0,0.38284944399039
"Vauxhall Street, Vauxhall",352,51.486965,-0.116625,9.0,Vauxhall_diatance,450.0,Geraldine Mary Harmsworth Park West_diatance,1040.0,St. George Wharf_diatance,740.0,11597.0,0.0,0.0,0.0,0.0,0.0,0.14711834559700088
"Greycoat Street , Westminster",353,51.49459148,-0.134234258,11.0,Victoria_diatance,765.0,St. James's Park Queen Anne's Gate_distance,704.0,Millbank Millennium Pier_diatance,731.0,15046.0,0.0,0.0,0.0,0.0,0.0,0.13550025334237709
"Northumberland Avenue, Strand",354,51.506767,-0.123702,46.0,Charing Cross_diatance,92.0,St. James's Park Waterloo Place Gate_distance,537.0,Embankment Pier_diatance,165.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.7328791539312454
"Clapham Common Station, Clapham Common",355,51.461388,-0.13922146,0.0,Clapham Junction_diatance,2179.0,Battersea Park Rosery Gate_diatance,1980.0,Battersea Power Station Pier_diatance,2548.0,13133.0,0.0,0.0,0.0,0.0,0.0,0.28095524804866007
"South Kensington Station, South Kensington",356,51.494412,-0.173881,37.0,Victoria_diatance,2028.0,Hyde Park Alexandra Gate_diatance,832.0,Cadogan Pier_diatance,1389.0,8106.0,0.0,0.0,0.0,2.0627585822425476,0.0,0.4646024818212886
"Howland Street, Fitzrovia",357,51.520994,-0.139016,26.0,Euston_diatance,912.0,The Regent's Park St. Andrew's Gate_distance,681.0,Embankment Pier_diatance,1981.0,19918.0,0.0,0.0,0.0,0.0,0.0,0.012740370027614894
"High Holborn , Covent Garden",358,51.516226,-0.124826,15.0,Charing Cross_diatance,978.0,Lincoln's Inn Fields West_distance,476.0,Embankment Pier_diatance,1056.0,14797.0,0.0,0.0,0.0,0.0,0.0,0.658040993381618
"Butler Place, Westminster",359,51.49782999,-0.135440826,16.0,Victoria_diatance,662.0,St. James's Park Queen Anne's Gate_distance,361.0,Westminster Pier_diatance,956.0,3982.0,0.0,0.0,0.0,0.0,0.0,0.2731514816315637
"Howick Place, Westminster",360,51.49675303,-0.138733562,24.0,Victoria_diatance,420.0,St. James's Park Buckingham Gate_distance,416.0,Millbank Millennium Pier_diatance,1118.0,21065.0,0.0,0.0,0.0,0.0,0.0,0.38786615024863547
"Waterloo Station 2, Waterloo",361,51.50391973,-0.11342629,13.0,Waterloo_diatance,92.0,Geraldine Mary Harmsworth Park North_diatance,823.0,Festival Pier_diatance,457.0,6252.0,0.0,0.0,0.0,0.0,0.0,0.4019324707824172
"Royal College Street, Camden Town",362,51.536264,-0.133952,24.0,St Pancras_diatance,766.0,The Regent's Park Chester Gate_distance,1265.0,Embankment Pier_diatance,3371.0,26038.0,0.0,0.0,0.0,0.0,0.0,0.22026092917607262
"Lord's, St. John's Wood",363,51.5291212008901,-0.171185284853,9.0,Marylebone_diatance,877.0,The Regent's Park Hanover Gate_distance,391.0,Embankment Pier_diatance,4238.0,6376.0,0.0,0.0,0.0,0.0,0.0,0.25175624249917505
"Store Street, Bloomsbury",364,51.519572,-0.13214036,11.0,Euston_diatance,1028.0,Lincoln's Inn Fields West_distance,1061.0,Embankment Pier_diatance,1588.0,12381.0,0.0,0.0,0.0,0.0,0.0,0.2461788701245119
"City Road, Angel",365,51.530344,-0.100168,12.0,Kings Cross_diatance,1616.0,Lincoln's Inn Fields South_distance,1975.0,Blackfriars Pier_diatance,2194.0,20950.0,0.0,0.0,0.0,0.0,0.0,0.355749197395164
"Harrowby Street, Marylebone",367,51.5173721,-0.1642075,11.0,Marylebone_diatance,642.0,Hyde Park Marble Arch_diatance,698.0,Embankment Pier_diatance,3184.0,19577.0,0.0,2.1100686101783808,-3.372823797387676,0.0,-2.126012636844551,0.6740112113955056
"Harriet Street, Knightsbridge",368,51.50024195,-0.15934065,39.0,Victoria_diatance,1085.0,Hyde Park Albert Gate_diatance,265.0,Cadogan Pier_diatance,1996.0,9963.0,-2.4320303468221094,0.0,-3.7792018899053375,0.0,-2.7698576357978886,0.2943134838645857
"Paddington Green, Paddington",370,51.520205,-0.174593,16.0,Paddington_diatance,380.0,Hyde Park Victoria Gate_diatance,940.0,Embankment Pier_diatance,3968.0,17517.0,0.0,2.835324335952696,0.0,0.0,0.0,0.49961773768565215
"King Edward Walk, Waterloo",371,51.49775,-0.10988,2.0,Waterloo_diatance,638.0,Geraldine Mary Harmsworth Park North_diatance,112.0,London Eye - Waterloo Pier_diatance,968.0,9068.0,0.0,0.0,0.0,0.0,0.0,0.21210185061722217
"Sardinia Street, Holborn",372,51.515208,-0.117863,5.0,Charing Cross_diatance,931.0,Lincoln's Inn Fields West_distance,81.0,Festival Pier_diatance,913.0,5611.0,0.0,0.0,0.0,0.0,0.0,0.5486857697673203
"Prince Consort Road, Knightsbridge",373,51.49980661,-0.176415994,9.0,Paddington_diatance,1923.0,Kensington Gardens Albert Memorial Gate_diatance,222.0,Cadogan Pier_diatance,2011.0,4109.0,0.0,0.0,0.0,2.8692241689475764,-2.906671450243427,0.5027961714629362
"Waterloo Station 1, Waterloo",374,51.50402794,-0.11386436,37.0,Waterloo_diatance,113.0,Geraldine Mary Harmsworth Park North_diatance,847.0,Festival Pier_diatance,428.0,6252.0,0.0,0.0,0.0,0.0,0.0,0.43819005796293875
"Kensington Town Hall, Kensington",375,51.50194596,-0.194392952,14.0,Paddington_diatance,2075.0,Holland Park Duchess of Bedford_diatance,447.0,Cadogan Pier_diatance,2878.0,11513.0,0.0,-3.0141530506744147,0.0,-2.6027963761328805,0.0,0.3995245340050167
"Millbank Tower, Pimlico",376,51.49188409,-0.125674815,13.0,Vauxhall_diatance,693.0,St. James's Park Storey's Gate_distance,1104.0,Millbank Millennium Pier_diatance,69.0,15964.0,0.0,0.0,0.0,0.0,0.0,0.5024555820512215
"Waterloo Bridge, South Bank",377,51.50535447,-0.113656543,12.0,Waterloo_diatance,253.0,Geraldine Mary Harmsworth Park North_diatance,977.0,Festival Pier_diatance,340.0,17685.0,0.0,0.0,0.0,0.0,0.0,0.42014411954483427
"Natural History Museum, South Kensington",378,51.49559291,-0.179077626,17.0,Victoria_diatance,2376.0,Kensington Gardens Queen Gate_diatance,678.0,Cadogan Pier_diatance,1669.0,8081.0,0.0,0.0,0.0,2.79483971077203,0.0,0.4375853699303824
"Turquoise Island, Notting Hill",379,51.51431171,-0.200838199,23.0,Paddington_diatance,1685.0,Kensington Gardens Black Lion Gate_diatance,1016.0,Cadogan Pier_diatance,4236.0,20331.0,0.0,-2.323688814520334,0.0,2.176063502583967,-2.232060498172598,0.4000210409747022
"Stanhope Gate, Mayfair",380,51.50686435,-0.150666888,12.0,Victoria_diatance,1211.0,Hyde Park Queen Elizabeth Gate_diatance,327.0,Westminster Pier_diatance,1989.0,9898.0,-9.250968333117553,-3.7596106755464715,-5.155151840170825,6.969039213697265,-7.084921620181054,0.316904360445714
"Charlotte Street, Fitzrovia",381,51.51953043,-0.13577731,9.0,Euston_diatance,1023.0,The Regent's Park St. Andrew's Gate_distance,955.0,Embankment Pier_diatance,1717.0,19918.0,0.0,0.0,0.0,0.0,0.0,0.15330778960919195
"Farm Street, Mayfair",382,51.50935171,-0.14744969,8.0,Victoria_diatance,1430.0,Green Park Devonshire Gates_diatance,455.0,Embankment Pier_diatance,1826.0,4530.0,-7.1372805228725165,-2.8095321618119664,-3.0590662508656328,5.4319679977452955,-5.043628148977162,0.34065039817686565
"Frith Street, Soho",383,51.51310333,-0.13121385,13.0,Charing Cross_diatance,839.0,St. James's Park Waterloo Place Gate_distance,834.0,Embankment Pier_diatance,965.0,10317.0,0.0,0.0,0.0,0.0,0.0,0.5336703819639612
"Marloes Road, Kensington",384,51.496481,-0.192404,10.0,Paddington_diatance,2531.0,Kensington Gardens Palace Gate_diatance,822.0,Cadogan Pier_diatance,2356.0,14743.0,0.0,0.0,0.0,0.0,0.0,0.344611027289857
"Moor Street, Soho",386,51.51352755,-0.130110822,23.0,Charing Cross_diatance,827.0,Lincoln's Inn Fields West_distance,883.0,Embankment Pier_diatance,948.0,10317.0,0.0,0.0,0.0,0.0,0.0,0.5616129562754604
"Fire Brigade Pier, Vauxhall",387,51.49369988,-0.121394101,28.0,Vauxhall_diatance,874.0,Geraldine Mary Harmsworth Park West_diatance,766.0,Millbank Millennium Pier_diatance,313.0,12443.0,0.0,0.0,0.0,0.0,0.0,0.5229361776268654
"Southampton Street, Strand",388,51.51070161,-0.121723604,16.0,Charing Cross_diatance,369.0,Lincoln's Inn Fields West_distance,638.0,Embankment Pier_diatance,415.0,2977.0,0.0,0.0,0.0,0.0,0.0,0.7521838377904961
"Upper Grosvenor Street, Mayfair",389,51.51013066,-0.155757901,9.0,Marylebone_diatance,1527.0,Hyde Park Park Lane_diatance,178.0,Embankment Pier_diatance,2408.0,9898.0,-9.539475207282141,0.0,-7.645825233785638,4.32489084041027,-6.881544506118081,0.3591984267733942
"Buxton Street 1, Shoreditch",390,51.521776,-0.068856,14.0,Liverpool Street_diatance,973.0,Victoria Park Bonner Gate_diatance,1916.0,Tower Millennium Pier_diatance,1756.0,14523.0,0.0,0.0,0.0,0.0,0.0,0.12538941065265627
"Clifford Street, Mayfair",391,51.51066202,-0.142345694,0.0,Charing Cross_diatance,1378.0,Green Park Devonshire Gates_diatance,580.0,Embankment Pier_diatance,1511.0,2938.0,-2.1886352854036213,0.0,0.0,0.0,0.0,0.22201476956377056
"Imperial College, Knightsbridge",392,51.49942855,-0.179702476,33.0,Paddington_diatance,1975.0,Kensington Gardens Queen Gate_diatance,250.0,Cadogan Pier_diatance,2063.0,4109.0,0.0,0.0,0.0,3.051543531494343,-2.699961371102254,0.46838114950821497
"Snow Hill, Farringdon",393,51.51733427,-0.103604248,7.0,Blackfriars_diatance,639.0,Lincoln's Inn Fields South_distance,891.0,Blackfriars Pier_diatance,769.0,2733.0,0.0,0.0,0.0,0.0,0.0,0.31968524699355627
"Aberdeen Place, St. John's Wood",394,51.524826,-0.176268,17.0,Paddington_diatance,860.0,The Regent's Park Hanover Gate_distance,836.0,Embankment Pier_diatance,4288.0,28154.0,0.0,2.034049043444323,0.0,0.0,0.0,0.42650730924254965
"Cadogan Gardens, Chelsea",395,51.492462,-0.159919,15.0,Victoria_diatance,1143.0,Hyde Park Albert Gate_diatance,1128.0,Cadogan Pier_diatance,1160.0,12691.0,0.0,0.0,-4.160325792020781,2.0324339127198265,0.0,0.28535102813225527
"Shouldham Street, Marylebone",396,51.51809,-0.163609,13.0,Marylebone_diatance,559.0,Hyde Park Marble Arch_diatance,746.0,Embankment Pier_diatance,3176.0,20291.0,0.0,0.0,-3.280432528796652,0.0,-1.9789430419310305,0.6756017009838846
"Devonshire Terrace, Bayswater",397,51.51348,-0.17977,48.0,Paddington_diatance,449.0,Kensington Gardens Marlborough Gate_diatance,350.0,Cadogan Pier_diatance,3532.0,38188.0,-4.3052608346690695,2.336113501004615,-5.852436192904033,4.0342364092428,-4.160509424501905,0.49457350826456153
"Holland Park, Kensington",398,51.502319,-0.200742,65.0,Paddington_diatance,2329.0,Holland Park Duchess of Bedford_diatance,13.0,Cadogan Pier_diatance,3218.0,5099.0,0.0,0.0,0.0,0.0,0.0,0.0067275207838203765
"Brick Lane Market, Shoreditch",399,51.52261762,-0.071653961,23.0,Liverpool Street_diatance,844.0,Victoria Park Bonner Gate_diatance,2001.0,Tower Millennium Pier_diatance,1778.0,14523.0,0.0,0.0,0.0,0.0,0.0,0.11196778716956415
"George Street, Marylebone",400,51.517703,-0.154106,19.0,Marylebone_diatance,860.0,Hyde Park Marble Arch_diatance,697.0,Embankment Pier_diatance,2562.0,7737.0,-3.832454447910618,0.0,-3.5077660880472465,2.5473494383216133,-2.366735409192459,0.530108157519135
"Columbia Road, Shoreditch",401,51.528187,-0.075375,25.0,Liverpool Street_diatance,1168.0,Victoria Park St Agnes Gate_diatance,1903.0,Tower Millennium Pier_diatance,2338.0,21972.0,0.0,0.0,0.0,0.0,0.0,0.044463421738467825
"Penfold Street, Marylebone",402,51.52289229,-0.171681991,6.0,Marylebone_diatance,601.0,The Regent's Park Hanover Gate_distance,741.0,Embankment Pier_diatance,3908.0,29064.0,0.0,0.0,0.0,0.0,0.0,0.43488424260113323
"George Place Mews, Marylebone",403,51.51689296,-0.158249929,11.0,Marylebone_diatance,764.0,Hyde Park Marble Arch_diatance,531.0,Embankment Pier_diatance,2782.0,13849.0,-3.9241810550542633,0.0,-4.037264328930613,2.2093070528144527,-2.565961569385524,0.5586689808160088
"Palace Gate, Kensington Gardens",404,51.50204238,-0.184400221,294.0,Paddington_diatance,1753.0,Kensington Gardens Palace Gate_diatance,20.0,Cadogan Pier_diatance,2474.0,7318.0,0.0,0.0,0.0,0.0,-2.6798512522559483,0.4220238324380912
"Gloucester Road Station, South Kensington",405,51.49418566,-0.18267094,47.0,Paddington_diatance,2579.0,Kensington Gardens Queen Gate_diatance,846.0,Cadogan Pier_diatance,1693.0,11055.0,0.0,0.0,0.0,0.0,0.0,0.35471250304636376
"Sun Street, Liverpool Street",408,51.520009,-0.083935724,18.0,Liverpool Street_diatance,219.0,Lincoln's Inn Fields South_distance,2284.0,London Bridge City Pier_diatance,1455.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.056029289506606225
"Strata, Elephant & Castle",409,51.493146,-0.099828,22.0,Waterloo East_diatance,1410.0,Geraldine Mary Harmsworth Park East_diatance,537.0,Millbank Millennium Pier_diatance,1728.0,46000.0,0.0,0.0,0.0,0.0,0.0,0.17269131356905273
"Edgware Road Station, Marylebone",410,51.519968,-0.169774,40.0,Marylebone_diatance,584.0,Hyde Park Victoria Gate_diatance,917.0,Embankment Pier_diatance,3650.0,19375.0,0.0,2.297157425951601,0.0,0.0,0.0,0.6263315097133584
"Rotherhithe Roundabout, Rotherhithe",411,51.499169,-0.055846029,37.0,Fenchurch Street_diatance,2065.0,Mile End Park Football Pitch_diatance,2596.0,Tower Bridge Quay_diatance,1438.0,13318.0,0.0,0.0,0.0,0.0,0.0,0.2521720248756747
"Cleaver Street, Kennington",412,51.488105,-0.110121,6.0,Vauxhall_diatance,918.0,Geraldine Mary Harmsworth Park West_diatance,831.0,Millbank Millennium Pier_diatance,1089.0,17983.0,0.0,0.0,0.0,0.0,0.0,0.15036263539432682
"Chelsea Bridge, Pimlico",419,51.485821,-0.149004,14.0,Victoria_diatance,1233.0,Battersea Park Sopwith Way_diatance,490.0,Battersea Power Station Pier_diatance,299.0,22133.0,0.0,0.0,0.0,0.0,0.0,-0.022222466851252513
"Southwark Station 1, Southwark",420,51.504043,-0.105312,16.0,Waterloo East_diatance,331.0,Geraldine Mary Harmsworth Park North_diatance,798.0,Bankside Pier_diatance,790.0,11382.0,0.0,0.0,0.0,0.0,0.0,0.1601692122755373
"Southwark Station 2, Southwark",421,51.504044,-0.104778,10.0,Waterloo East_diatance,368.0,Geraldine Mary Harmsworth Park North_diatance,809.0,Bankside Pier_diatance,762.0,11382.0,0.0,0.0,0.0,0.0,0.0,0.15428334634823013
"Eaton Square (South), Belgravia",423,51.49456127,-0.15393398,9.0,Victoria_diatance,672.0,Hyde Park White Horse Gate_diatance,907.0,Battersea Power Station Pier_diatance,1306.0,10254.0,0.0,0.0,-4.288209286040468,3.0360755685879277,0.0,0.2798943286241269
"Ebury Bridge, Pimlico",424,51.490491,-0.149186,13.0,Victoria_diatance,744.0,Battersea Park Sopwith Way_diatance,1009.0,Battersea Power Station Pier_diatance,764.0,13181.0,2.3148310427493497,2.2340207459054704,-1.9859894448046236,3.5184106336573406,0.0,0.26228698572093617
"Vincent Street, Pimlico",426,51.493072,-0.129925,16.0,Vauxhall_diatance,934.0,St. James's Park Queen Anne's Gate_distance,914.0,Millbank Millennium Pier_diatance,390.0,40866.0,0.0,0.0,0.0,0.0,0.0,0.41520559303285126
