name,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_min_rail_distance,beta_min_park_distance,beta_min_pier_distance,beta_population_density,se_Intercept,se_min_rail_distance,se_min_park_distance,se_min_pier_distance,se_population_density,t_Intercept,t_min_rail_distance,t_min_park_distance,t_min_pier_distance,t_population_density,p_Intercept,p_min_rail_distance,p_min_park_distance,p_min_pier_distance,p_population_density,sumW
"Blenheim Crescent, Ladbroke Grove",-0.208565479,51.51510818,-0.067802326,-0.220463374,-0.234400196,0.166597871,0.42129576,0.114559869,5.31E-05,0,0,0,0,0,2.037511097,0.233580617,0.718886296,0.943236851,0.20363508,0,0,0,0,0,0.235441025,0.167522862,0.185219652,0.196276214,0.17612662,24.99900357
"Boston Place, Marylebone",-0.162298,51.522511,-0.156079611,-0.339844571,0.097807749,-0.25388736,0.543057913,0.181061138,0.000227983,0,0,0,0,0,0.631837809,0.489928665,0.523072579,0.287714669,0.151044755,0,0,0,0,0,0.171034454,0.993921808,0.084782374,0.547925449,0.178637222,22.5329233
"The Tennis Courts, The Regent's Park",-0.153463612,51.52536703,1.741882024,1.326318502,0.81374081,0.928141215,0.669023743,0.261572457,0.005413812,-1.11448906,0,0,0,0,0.498641869,0.463022106,0.594820853,0.289979377,0.180479881,-2.235049099,0,0,0,0,0.025693617,0.653572252,0.088580997,0.719260872,0.179894938,16.0450956
"Seymour Place, Marylebone",-0.163667,51.520331,-0.170792492,-0.324186736,-0.239968619,0.069176127,0.590695045,0.096670324,7.43E-06,0,0,-1.107023918,0,0,0.609614193,0.480630308,0.497513086,0.325687052,0.147096669,0,0,-2.225115178,0,0,0.173263105,0.419330914,0.026355874,0.342716917,0.184572199,24.06834086
"Lansdowne Walk, Ladbroke Grove",-0.204666,51.509591,-0.317921301,-0.613099002,0.168302026,-0.486223327,0.42165189,0.103888136,0.000400693,0,0,0,0,0,1.142080167,0.246599828,0.476156568,0.519726233,0.206565915,0,0,0,0,0,0.129251979,0.065576496,0.086609685,0.076635048,0.191089605,23.32334301
"Bevington Road West, North Kensington",-0.208888173,51.5212,0.049900722,-0.092665481,-0.134354829,0.184255551,0.401602251,0.226797591,0.00016873,0,0,0,0,0,3.330041726,0.236287227,1.1153447,1.559311734,0.239285009,0,0,0,0,0,0.297869164,0.343989821,0.24831048,0.281260995,0.211459941,19.19968295
"Beaumont Street, Marylebone",-0.151359288,51.52200801,-0.288495539,-0.542766313,0.280161704,-0.568657243,0.582591893,0.090827079,0.000465503,-0.816854718,0,0,0,0,0.395206822,0.580477989,0.55401836,0.515996119,0.182920023,-2.066904394,0,0,0,0,0.039069255,0.838703194,0.130980126,0.588203639,0.211510293,20.84211973
"Woodstock Street, Mayfair",-0.147301667,51.51410514,-0.244356896,-0.454670213,0.073575564,-0.31793246,0.583529771,0.182488061,0.000361589,0,0,0,0,0,0.423589622,0.648935375,0.458979902,0.391352667,0.260225348,0,0,0,0,0,0.113145915,0.544776235,0.212918935,0.10566899,0.214337018,22.42175481
"Marylebone Lane, Marylebone",-0.148105415,51.51475963,-0.023663683,-0.186080934,-0.073552687,0.049889004,0.617126812,0.109545035,4.50E-06,0,0,0,0,0,0.450753421,0.689504681,0.472475293,0.421464447,0.256725356,0,0,0,0,0,0.12874737,0.397712813,0.178348364,0.088185256,0.227510216,21.85310521
"St Mary's Hospital, Paddington",-0.17110323,51.518268,-0.332634182,-0.377051398,-0.406590723,0.073956541,0.464434152,0.123092302,1.15E-05,0,0,0,0,0,0.828152184,0.470425263,0.508212352,0.372238892,0.140378388,0,0,0,0,0,0.846210641,0.090572642,0.057120861,0.608062461,0.23580665,23.93749851
