name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,48.0,St Pancras_diatance,236.0,The Regent's Park Chester Gate_distance,1565.0,Embankment Pier_diatance,2559.0,20725.0
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,30.0,Charing Cross_diatance,1184.0,Lincoln's Inn Fields West_distance,713.0,Embankment Pier_diatance,1278.0,5482.0
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,70.0,St Pancras_diatance,561.0,Lincoln's Inn Fields West_distance,1285.0,Embankment Pier_diatance,2179.0,17800.0
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,36.0,Blackfriars_diatance,1193.0,Lincoln's Inn Fields South_distance,833.0,Blackfriars Pier_diatance,1349.0,17909.0
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,44.0,Charing Cross_diatance,811.0,Lincoln's Inn Fields West_distance,322.0,Embankment Pier_diatance,869.0,14982.0
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,35.0,Euston_diatance,467.0,The Regent's Park St. Andrew's Gate_distance,1022.0,Embankment Pier_diatance,2122.0,17263.0
"Drummond Street , Euston",20,51.527326,-0.13605286,15.0,Euston_diatance,187.0,The Regent's Park Chester Gate_distance,685.0,Embankment Pier_diatance,2481.0,6943.0
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,3.0,Liverpool Street_diatance,2715.0,Victoria Park St Agnes Gate_diatance,884.0,Tower Millennium Pier_diatance,3788.0,17789.0
"Northington Street , Holborn",22,51.5222641,-0.114079481,35.0,Kings Cross_diatance,1295.0,Lincoln's Inn Fields South_distance,750.0,Blackfriars Pier_diatance,1582.0,17644.0
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,11.0,Charing Cross_diatance,1355.0,Lincoln's Inn Fields West_distance,397.0,Festival Pier_diatance,1386.0,5611.0
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,30.0,Euston_diatance,1267.0,Lincoln's Inn Fields West_distance,582.0,Embankment Pier_diatance,1365.0,5482.0
"Doric Way , Somers Town",25,51.5288338,-0.132250369,47.0,Euston_diatance,156.0,The Regent's Park Chester Gate_distance,956.0,Embankment Pier_diatance,2545.0,13495.0
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,20.0,Kings Cross_diatance,666.0,Lincoln's Inn Fields West_distance,1262.0,Blackfriars Pier_diatance,2208.0,33409.0
"Bouverie Street, Temple",27,51.51382102,-0.107927706,13.0,Blackfriars_diatance,421.0,Lincoln's Inn Fields South_distance,607.0,Blackfriars Pier_diatance,600.0,2733.0
"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641,49.0,Euston_diatance,854.0,The Regent's Park St. Andrew's Gate_distance,259.0,Embankment Pier_diatance,2400.0,26160.0
"Hereford Road, Bayswater",29,51.513735,-0.193487,74.0,Paddington_diatance,1207.0,Kensington Gardens Black Lion Gate_diatance,564.0,Cadogan Pier_diatance,3915.0,24552.0
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,38.0,Liverpool Street_diatance,1428.0,Lincoln's Inn Fields South_distance,2177.0,Blackfriars Pier_diatance,2126.0,24596.0
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323,48.0,Liverpool Street_diatance,1231.0,Victoria Park St Agnes Gate_diatance,2348.0,Blackfriars Pier_diatance,2430.0,17320.0
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43.0,Liverpool Street_diatance,711.0,Lincoln's Inn Fields South_distance,2416.0,Blackfriars Pier_diatance,1938.0,6784.0
"Pancras Road, King's Cross",34,51.5341235,-0.129386874,34.0,St Pancras_diatance,379.0,The Regent's Park Chester Gate_distance,1351.0,Embankment Pier_diatance,3069.0,6945.0
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,84.0,Paddington_diatance,1797.0,Kensington Gardens Palace Gate_diatance,51.0,Cadogan Pier_diatance,2465.0,14798.0
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256,50.0,Paddington_diatance,3032.0,Holland Park Ilchester Gate_diatance,1253.0,Cadogan Pier_diatance,2047.0,24684.0
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586,47.0,Paddington_diatance,2605.0,Holland Park Ilchester Gate_diatance,541.0,Cadogan Pier_diatance,2681.0,14743.0
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921,55.0,Liverpool Street_diatance,914.0,Victoria Park St Agnes Gate_diatance,2168.0,Tower Millennium Pier_diatance,2125.0,13333.0
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,19.0,Liverpool Street_diatance,535.0,Victoria Park Bonner Gate_diatance,2307.0,Tower Millennium Pier_diatance,1573.0,16990.0
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,7.0,Liverpool Street_diatance,294.0,Lincoln's Inn Fields South_distance,2338.0,Tower Millennium Pier_diatance,1554.0,6784.0
