name,id,lat,lon,number,min_rail,min_rail_distance,min_park,min_park_distance,min_pier,min_pier_distance,population_density
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,36.0,Blackfriars_diatance,1193.4580669732206,Lincoln's Inn Fields South_distance,833.3431351409504,Blackfriars Pier_diatance,1348.5816505740722,17909.0
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,44.0,Charing Cross_diatance,810.7639554022369,Lincoln's Inn Fields West_distance,322.18367858475165,Embankment Pier_diatance,868.735513702168,14982.0
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,35.0,Euston_diatance,466.89784080556717,The Regent's Park St. Andrew's Gate_distance,1021.9079327223591,Embankment Pier_diatance,2121.558861184737,17263.0
"Drummond Street , Euston",20,51.527326,-0.13605286,15.0,Euston_diatance,186.76755773092927,The Regent's Park Chester Gate_distance,685.1485053465832,Embankment Pier_diatance,2481.2451895302634,6943.0
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,3.0,Liverpool Street_diatance,2715.1596979748615,Victoria Park St Agnes Gate_diatance,884.0358939438674,Tower Millennium Pier_diatance,3787.8886261433227,17789.0
"Northington Street , Holborn",22,51.5222641,-0.114079481,35.0,Kings Cross_diatance,1295.043826998698,Lincoln's Inn Fields South_distance,750.3330743906026,Blackfriars Pier_diatance,1581.9915861775044,17644.0
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,11.0,Charing Cross_diatance,1355.383156848656,Lincoln's Inn Fields West_distance,397.4339976906766,Festival Pier_diatance,1385.673331915145,5611.0
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,30.0,Euston_diatance,1267.2571892702733,Lincoln's Inn Fields West_distance,581.877376998933,Embankment Pier_diatance,1365.4883031985185,5482.0
"Doric Way , Somers Town",25,51.5288338,-0.132250369,47.0,Euston_diatance,156.331767808405,The Regent's Park Chester Gate_distance,955.8094153277307,Embankment Pier_diatance,2544.947180615643,13495.0
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,20.0,Kings Cross_diatance,666.2330701385591,Lincoln's Inn Fields West_distance,1261.7496105670257,Blackfriars Pier_diatance,2207.649878720073,33409.0
"Bouverie Street, Temple",27,51.51382102,-0.107927706,13.0,Blackfriars_diatance,421.0407551124322,Lincoln's Inn Fields South_distance,606.5256184445196,Blackfriars Pier_diatance,600.2567374279964,2733.0
"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641,49.0,Euston_diatance,854.123277284903,The Regent's Park St. Andrew's Gate_distance,259.4673364604071,Embankment Pier_diatance,2399.817403162647,26160.0
"Hereford Road, Bayswater",29,51.513735,-0.193487,74.0,Paddington_diatance,1207.2212867835976,Kensington Gardens Black Lion Gate_diatance,563.7902982039403,Cadogan Pier_diatance,3915.400927883325,24552.0
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,38.0,Liverpool Street_diatance,1427.918881587613,Lincoln's Inn Fields South_distance,2176.605433720264,Blackfriars Pier_diatance,2125.679348323263,24596.0
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323,48.0,Liverpool Street_diatance,1231.3802787443303,Victoria Park St Agnes Gate_diatance,2347.958757429113,Blackfriars Pier_diatance,2430.2493312916913,17320.0
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43.0,Liverpool Street_diatance,711.0371178419833,Lincoln's Inn Fields South_distance,2416.2876036344123,Blackfriars Pier_diatance,1937.5696968529164,6784.0
"Pancras Road, King's Cross",34,51.5341235,-0.129386874,34.0,St Pancras_diatance,378.68477204540346,The Regent's Park Chester Gate_distance,1351.080234416491,Embankment Pier_diatance,3069.471913055084,6945.0
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,84.0,Paddington_diatance,1797.4660118617865,Kensington Gardens Palace Gate_diatance,50.77035966548242,Cadogan Pier_diatance,2465.4833857707526,14798.0
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256,50.0,Paddington_diatance,3031.5154712528233,Holland Park Ilchester Gate_diatance,1252.5473121498117,Cadogan Pier_diatance,2046.947148269002,24684.0
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586,47.0,Paddington_diatance,2605.2490735825986,Holland Park Ilchester Gate_diatance,540.5086712133353,Cadogan Pier_diatance,2681.254631739787,14743.0
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921,55.0,Liverpool Street_diatance,913.9618829139033,Victoria Park St Agnes Gate_diatance,2168.2006222905425,Tower Millennium Pier_diatance,2125.129710288254,13333.0
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,19.0,Liverpool Street_diatance,534.9778372958199,Victoria Park Bonner Gate_diatance,2307.038046881963,Tower Millennium Pier_diatance,1573.3773755030732,16990.0
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,7.0,Liverpool Street_diatance,294.40955956087015,Lincoln's Inn Fields South_distance,2338.014113815901,Tower Millennium Pier_diatance,1554.4715613537421,6784.0
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,46.0,Liverpool Street_diatance,1618.349575111841,Lincoln's Inn Fields South_distance,2299.799661174939,Blackfriars Pier_diatance,2317.0607035422336,24596.0
"Crawford Street, Marylebone",43,51.52026,-0.157183945,47.0,Marylebone_diatance,511.51750560802043,The Regent's Park Clarence Gate_distance,503.0894469266266,Embankment Pier_diatance,2887.044266071256,23675.0
"Bruton Street, Mayfair",44,51.51073687,-0.144165239,12.0,Charing Cross_diatance,1501.6268288955293,Green Park Devonshire Gates_diatance,567.1228676504869,Embankment Pier_diatance,1634.2913713122375,2938.0
"Boston Place, Marylebone",45,51.522511,-0.162298,26.0,Marylebone_diatance,81.53731496007148,The Regent's Park Clarence Gate_distance,375.194990998761,Embankment Pier_diatance,3319.2833970159186,20491.0
"Nesham Street, Wapping",46,51.507131,-0.06691,35.0,Fenchurch Street_diatance,920.1558792887917,Mile End Park Football Pitch_diatance,2559.575001087856,Tower Bridge Quay_diatance,475.0378807347613,7364.0
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408,132.0,Paddington_diatance,844.4922828914714,The Regent's Park Hanover Gate_distance,1378.9834008693585,Cadogan Pier_diatance,4664.199929028245,13908.0
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408,29.0,Blackfriars_diatance,284.5580283409501,Lincoln's Inn Fields South_distance,1230.8606317116992,Blackfriars Pier_diatance,241.98137362056056,1021.0
"Curzon Street, Mayfair",49,51.50706909,-0.145904427,36.0,Victoria_diatance,1166.6170550742238,Green Park Devonshire Gates_diatance,180.2832824758288,Westminster Pier_diatance,1683.2836361077177,4530.0
"East Road, Hoxton",50,51.52867339,-0.087459376,35.0,Liverpool Street_diatance,1194.8284518979117,Lincoln's Inn Fields South_distance,2459.569074023543,Blackfriars Pier_diatance,2213.703594208191,52750.0
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,31.0,Kings Cross_diatance,1458.4223663391492,Lincoln's Inn Fields South_distance,1480.7921787330915,Blackfriars Pier_diatance,1805.040953648601,30164.0
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,32.0,Liverpool Street_diatance,1028.9288915519364,Lincoln's Inn Fields South_distance,1680.2045980304715,Blackfriars Pier_diatance,1433.2019377015213,19126.0
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,11.0,Charing Cross_diatance,1438.447392775217,Green Park Devonshire Gates_diatance,489.9497028592894,Embankment Pier_diatance,1569.783132805152,2938.0
"Golden Lane, Barbican",54,51.52174785,-0.094475072,37.0,Liverpool Street_diatance,942.0422467224361,Lincoln's Inn Fields South_distance,1648.5267439758877,Blackfriars Pier_diatance,1315.871931278529,32149.0
