name,id,lat,lon,capacity,number
"Great Percy Street, Clerkenwell",227,51.52891573,-0.115480888,23,31.0
"St. James's Square, St. James's",228,51.50742485,-0.134621209,40,78.0
"Whitehall Place, Strand",229,51.50654321,-0.123179697,46,181.0
"Poured Lines, Bankside",230,51.50669284,-0.103137426,31,29.0
"Queen's Gate (Central), South Kensington",231,51.49396755,-0.17873226,31,34.0
"Carey Street, Holborn",232,51.51501025,-0.112753217,16,8.0
"Pall Mall East, West End",233,51.50777049,-0.130699733,22,111.0
"Liverpool Road (N1 Centre), Angel",234,51.53450449,-0.106992706,24,40.0
"Kennington Road  , Vauxhall",235,51.49571828,-0.110889274,36,42.0
"Fashion Street, Whitechapel",236,51.51838043,-0.073438925,30,17.0
"Dock Street, Wapping",237,51.5097860151,-0.0681619805156,30,45.0
"Frampton Street, Paddington",238,51.5233534,-0.175116099,32,40.0
"Warren Street Station, Euston",239,51.52443845,-0.138019439,26,59.0
"Beaumont Street, Marylebone",242,51.52200801,-0.151359288,23,25.0
"Gloucester Street, Pimlico",243,51.49096258,-0.139625122,25,65.0
"Earnshaw Street , Covent Garden",244,51.51611887,-0.128585022,18,43.0
"Grosvenor Road, Pimlico",245,51.4853572,-0.142207481,29,15.0
"Berry Street, Clerkenwell",246,51.52285301,-0.099994052,41,29.0
"St. John's Wood Church, The Regent's Park",247,51.530529,-0.167515,50,58.0
"Triangle Car Park, Hyde Park",248,51.50645179,-0.170279555,27,602.0
"Harper Road, The Borough",249,51.49859784,-0.096191134,42,28.0
"Royal Avenue 1, Chelsea",250,51.489932,-0.162727,10,30.0
"Brushfield Street, Liverpool Street",251,51.518908,-0.079249,34,89.0
"Jubilee Gardens, South Bank",252,51.5046364,-0.116542278,30,297.0
"Shoreditch Park, Hoxton",253,51.53404294,-0.086379717,30,84.0
"Chadwell Street, Angel",254,51.53051587,-0.106408455,18,32.0
"Clifton Road, Maida Vale",255,51.52557531,-0.179592915,22,37.0
"Houghton Street, Strand",256,51.51362054,-0.116764211,15,8.0
"Westminster University, Marylebone",257,51.52248185,-0.154907218,16,32.0
"Kensington Gore, Knightsbridge",258,51.50143293,-0.178656971,23,23.0
"Bourne Street, Belgravia",259,51.490959,-0.1532331,16,36.0
"Broadwick Street, Soho",260,51.5136846,-0.135580879,18,51.0
"Princes Square, Bayswater",261,51.5134891,-0.191351186,16,30.0
"LSBU (Borough Road), Elephant & Castle",262,51.49874469,-0.103132904,35,58.0
"St. Mary Axe, Aldgate",263,51.51422502,-0.080660083,21,12.0
"Tysoe Street, Clerkenwell",264,51.52644342,-0.109256828,20,38.0
"Southwick Street, Paddington",265,51.51595344,-0.169249375,17,49.0
"Queen's Gate (North), Kensington",266,51.50102668,-0.180246101,41,36.0
"Regency Street, Westminster",267,51.49206037,-0.132224622,22,46.0
"Empire Square, The Borough",269,51.50082346,-0.089740764,46,46.0
"Kennington Lane Rail Bridge, Vauxhall",270,51.4863434,-0.122492418,31,53.0
"London Zoo,  The Regent's Park",271,51.53583617,-0.156285395,32,173.0
"Baylis Road, Waterloo",272,51.50144456,-0.110699309,22,66.0
"Belvedere Road 1, South Bank",273,51.50613324,-0.114686385,38,119.0
"Warwick Road, Olympia",274,51.49671237,-0.20528437,36,53.0
"Barbican Centre, Barbican",275,51.52004497,-0.092176447,19,25.0
"Kensington Church Street, Kensington",277,51.50315739,-0.191496313,17,42.0
"Tooley Street, Bermondsey",278,51.5034938,-0.07962099,27,210.0
"North Wharf Road, Paddington",279,51.51862243,-0.176645823,25,28.0
"Royal Avenue 2, Chelsea",280,51.490083,-0.162418,10,73.0
"Smith Square, Westminster",281,51.49580589,-0.127575233,18,32.0
"Royal London Hospital, Whitechapel",282,51.518675,-0.06111,42,31.0
"Kingsway, Covent Garden",283,51.51440928,-0.118478757,16,14.0
"Lambeth North Station, Waterloo",284,51.49914063,-0.112031483,20,42.0
"St. John's Wood Road, St. John's Wood",286,51.5272947,-0.174653609,35,18.0
"Bedford Way, Bloomsbury",287,51.52367314,-0.128377673,23,24.0
"Elizabeth Bridge, Victoria",288,51.49236962,-0.147478734,34,60.0
"South Audley Street, Mayfair",289,51.50923022,-0.151296092,15,14.0
"St Mary's Hospital, Paddington",290,51.518268,-0.17110323,20,104.0
"Claverton Street, Pimlico",291,51.48483991,-0.138089062,32,17.0
"Montpelier Street, Knightsbridge",292,51.49888404,-0.165471605,16,57.0
"Kensington Olympia Station, Olympia",293,51.49815779,-0.209494128,25,13.0
"St. George's Square, Pimlico",294,51.488226,-0.135635511,16,62.0
"Swan Street, The Borough",295,51.50029631,-0.092762704,27,29.0
"Knaresborough Place, Earl's Court",296,51.49363156,-0.190603326,18,57.0
"Geraldine Street, Elephant & Castle",297,51.49612799,-0.106000855,17,7.0
"Curlew Street, Shad Thames",298,51.50227992,-0.074189225,21,58.0
"Vincent Square, Westminster",299,51.49398524,-0.136928582,19,10.0
"Serpentine Car Park, Hyde Park",300,51.505014,-0.17306032,17,312.0
"Marylebone Lane, Marylebone",301,51.51475963,-0.148105415,24,97.0
"Putney Pier, Wandsworth",302,51.466907,-0.216573,28,78.0
"Albert Gate, Hyde Park",303,51.50295379,-0.158456089,34,627.0
"Rathbone Street, Fitzrovia",306,51.51816295,-0.135025698,16,19.0
"Black Lion Gate, Kensington Gardens",307,51.50990837,-0.187842717,24,739.0
"Long Lane , Bermondsey",308,51.49907558,-0.085666316,20,44.0
"Embankment (Savoy), Strand",309,51.50963123,-0.119047563,41,44.0
"Black Prince Road, Vauxhall",310,51.4908679,-0.116911864,19,49.0
"Foley Street, Fitzrovia",311,51.51918144,-0.140485596,24,38.0
"Grove End Road, St. John's Wood",312,51.53088935,-0.176770502,20,39.0
"Wells Street, Fitzrovia",313,51.51734403,-0.138072691,38,39.0
"Tyers Gate, Bermondsey",314,51.50088934,-0.083159352,36,35.0
"The Tennis Courts, The Regent's Park",315,51.52536703,-0.153463612,16,189.0
"Warwick Row, Westminster",316,51.497998,-0.14296064,21,72.0
"Dickens Square, Borough",317,51.49679128,-0.093913472,32,31.0
"Sackville Street, Mayfair",318,51.51004801,-0.138846453,18,25.0
"Baldwin Street, St. Luke's",319,51.52702563,-0.088542771,21,27.0
"Queen Mother Sports Centre, Victoria",320,51.49357351,-0.139956043,26,39.0
"Bermondsey Street, Bermondsey",321,51.49785559,-0.081608045,24,89.0
"Palissy Street, Shoreditch",322,51.526293,-0.073955,26,47.0
"Clifton Street, Shoreditch",323,51.523196,-0.083067,24,8.0
"Ontario Street, Elephant & Castle",324,51.49652013,-0.101384068,15,52.0
"St. Martin's Street, West End",325,51.50908747,-0.129697889,18,50.0
"Graham Street, Angel",326,51.53266186,-0.099981142,26,74.0
"New North Road 1, Hoxton",327,51.53095,-0.085603,22,11.0
"New North Road 2, Hoxton",328,51.53114,-0.086016,22,11.0
"Prince Albert Road, The Regent's Park",329,51.53589283,-0.160854428,24,57.0
"Eastbourne Mews, Paddington",330,51.51641749,-0.179135079,34,24.0
"Bunhill Row, Moorgate",331,51.52085887,-0.089887855,30,50.0
"Nevern Place, Earl's Court",332,51.49334336,-0.194757949,20,38.0
"Palace Gardens Terrace, Notting Hill",333,51.50860544,-0.193764092,37,46.0
"Concert Hall Approach 1, South Bank",334,51.505044,-0.115851,10,32.0
"Tavistock Street, Covent Garden",335,51.51196803,-0.120718759,33,65.0
"Concert Hall Approach 2, South Bank",336,51.504942,-0.115533,18,19.0
"Pembridge Villas, Notting Hill",337,51.51108452,-0.197524944,16,29.0
"Wellington Street , Strand",338,51.51175646,-0.119643424,24,54.0
"Risinghill Street, Angel",339,51.5333196,-0.1117812,25,11.0
"Bank of England Museum, Bank",340,51.51444134,-0.087587447,16,24.0
"Craven Street, Strand",341,51.50810309,-0.12602103,22,125.0
"London Zoo Car Park, The Regent's Park",343,51.53692216,-0.150181444,36,91.0
"Goswell Road (City Uni), Finsbury",344,51.528246,-0.10102611,17,26.0
"Flood Street, Chelsea",345,51.48802358,-0.166878535,33,41.0
"Lower Marsh, Waterloo",347,51.50013942,-0.113936001,17,48.0
"Grosvenor Square, Mayfair",348,51.51217033,-0.150481272,17,49.0
"St. George Street, Mayfair",349,51.51196,-0.142783033,18,25.0
"Queen's Gate, Kensington Gardens",350,51.5017154373867,-0.1798541843891,21,295.0
"Macclesfield Rd, St Lukes",351,51.529423,-0.097122,28,62.0
"Vauxhall Street, Vauxhall",352,51.486965,-0.116625,19,49.0
"Greycoat Street , Westminster",353,51.49459148,-0.134234258,17,21.0
"Northumberland Avenue, Strand",354,51.506767,-0.123702,37,91.0
"Clapham Common Station, Clapham Common",355,51.461388,-0.13922146,21,140.0
"South Kensington Station, South Kensington",356,51.494412,-0.173881,15,81.0
"Howland Street, Fitzrovia",357,51.520994,-0.139016,30,41.0
